Order,Component,Type
1,身の上,word
2,彼の身の上に何があったか誰も知らない。,sentence
3,アスピリン,word
4,このアスピリンを飲みなさい。,sentence
5,軒並み,word
6,持ち歩く,word
7,その少女はいつも人形を持ち歩いている。,sentence
8,遠ざかる,word
9,トムはどうやら厄介なことから遠ざかることはできないようだ。,sentence
10,飛び去る,word
11,すぐに鳥達は巣を飛び去った。,sentence
12,適量,word
13,眩,kanji
14,目眩,word
15,「ちょっと目まいがするわ」「顔色が悪いぞ。一日休んだほうがいいよ」,sentence
16,醤,kanji
17,醤油,word
18,トム、そこの醤油取って。,sentence
19,腕白,word
20,なるほどその少年は腕白だが、心はやさしい。,sentence
21,険しい,word
22,この地点から登りが急に険しくなった。,sentence
23,安楽,word
24,おじは今では安楽に暮らしている。,sentence
25,風下,word
26,屈める,word
27,おばあちゃんは身をかがめて糸の付いた針を拾った。,sentence
28,食い止める,word
29,私たちの国が徐々に破滅していくことをくい止めなければならない。,sentence
30,深呼吸,word
31,トムは深呼吸をした。,sentence
32,饉,kanji
33,飢饉,word
34,これらの国はしばしば飢饉に襲われた。,sentence
35,ひも,word
36,このひもは強い。,sentence
37,お世辞,word
38,ベートーベン,word
39,ベートーベンの音楽には強い魅力を感じる。,sentence
40,主観的,word
41,彼の文章はとても主観的だ。,sentence
42,馴染む,word
43,この気候にはなじめない。,sentence
44,人道主義,word
45,テムズ,sentence-component
46,その川はテムズ川の約１倍半の長さである。,sentence
47,付着,word
48,海の植物は海底に付着して育つ。,sentence
49,侃々,sentence-component
50,こんなものすぐに片づけなさいと彼女はかんかんになって叫んだ。,sentence
51,伸びやか,word
52,エリザベス,sentence-component
53,エリザベスは両親から独立している。,sentence
54,偉人,word
55,この町から偉人が出た。,sentence
56,キム,sentence-component
57,キムと私は同じ年齢だ。,sentence
58,停学,word
59,トムは学校を停学になったんだ。,sentence
60,駆け上がる,word
61,「わたしは森の中に入って、山に駆け上がったことを後悔していない。」と弟は答えた。,sentence
62,償う,word
63,あなたの損失は償います。,sentence
64,返し,word
65,いつか私を軽蔑したことに対して、彼にお返しをしてやろう。,sentence
66,光熱,word
67,光熱費,word
68,語り合う,word
69,どのような集まりでも贈り物を交換することの喜びの半分は、他の人たちが持ってきたものを見、そしてそれについて語り合うことの中。,sentence
70,内職,word
71,新入生,word
72,その数字は新入生の約３分の２が政治に無関心であることを示している。,sentence
73,励む,word
74,みんなそれぞれ自分の仕事に励んでいた。,sentence
75,寄り掛かる,word
76,この壁に寄りかかってはいけない。,sentence
77,博愛,word
78,企て,word
79,あなたと私は、企てに成功した。,sentence
80,原っぱ,word
81,茂み,word
82,しげみちゃんを幼稚園に迎えに行けないの。,sentence
83,夢想,word
84,取り計らう,word
85,あなたの出発の準備がすべて整うよう取り計らいます。,sentence
86,寝床,word
87,君の寝床の敷き方通りに、君は寝なくてはならない。,sentence
88,詰め込む,word
89,その少年は衣類を残らず鞄に詰め込んだ。,sentence
90,引き離す,word
91,これほど人々を引き離すものはなく、これほどあなたが陥りやすいものもありません。,sentence
92,イタリア人,word
93,イタリア人てね、コーヒーは飲まないんだよ。,sentence
94,情け,word
95,だれもがその囚人に情けをかけた。,sentence
96,新居,word
97,ジェーンは私の新居を見たいと頼んだ。,sentence
98,所々,word
99,その国の所々はあまりにも乾燥しており、ほとんど砂漠みたいだ。,sentence
100,山中,word
