Order,Component,Type
1,了,kanji
2,来日,word
3,ボブがいつ来日したか分からない。,sentence
4,間違える,word
5,あなたがたは間違えることを怖がる必要はありません。,sentence
6,丹,kanji
7,来月,word
8,あなたは来月アメリカに行く予定ですか。,sentence
9,スミス,sentence-component
10,「スミスさんをお願いしたいのですが」「そのまま切らずにお待ちください」,sentence
11,之,kanji
12,乏,kanji
13,欧,kanji
14,東欧,word
15,変,word
16,「お腹痛い」「どしたんかね？何か変なもの食べた？」「分かんない」,sentence
17,刈,kanji
18,東西,word
19,街,word
20,ここが前に話した街です。,sentence
21,勾,kanji
22,校長,word
23,あれはきっと校長先生だ。,sentence
24,飼う,word
25,あなたが猫を飼っていることは知らなかった。,sentence
26,匂,kanji
27,株,word
28,ニューヨークはアメリカの株取引の中心だ。,sentence
29,見付かる,word
30,あなたの時計はみつかった。,sentence
31,匹,kanji
32,株主,word
33,株主たちは会社の資産を処分する事を決議しました。,sentence
34,欧,word
35,羅,kanji
36,羅,word
37,巴,word
38,ヨーロッパ,word
39,あなたはヨーロッパに行ったことが一度もないのですね。,sentence
40,厄,kanji
41,格差,word
42,部,word
43,ここがこの都市の中心部です。,sentence
44,双,kanji
45,業績,word
46,あなたの最大の業績は何だと思いますか。,sentence
47,小父,word
48,おじ,word
49,あなたのおじさんはどこ？,sentence
50,孔,kanji
51,構成,word
52,この地域の人口構成をもっと注意深く見ていく必要がある。,sentence
53,単語,word
54,「衛星」という単語にいくつの意味を見つけることが出来るだろうか。,sentence
55,幻,kanji
56,模様,word
57,新聞報道によれば昨日飛行機事故があった模様である。,sentence
58,何人,word
59,あなたには何人子供がいますか。,sentence
60,丘,kanji
61,権限,word
62,何の権限で私に出て行けと言うのだ。,sentence
63,50,sentence-component
64,あなたから５０ドルお借りしたいのですが。,sentence
65,丼,kanji
66,横,word
67,あの猫は、僕の横で寝るのが好きなんだ。,sentence
68,描,kanji
69,描く,word
70,あの絵を描いたのって誰なの？,sentence
71,仙,kanji
72,歌手,word
73,あの歌手は人気が出るよ。,sentence
74,烕,kanji
75,滅,kanji
76,滅多,word
77,あんな親切な人たちはまずめったにいない。,sentence
78,凸,kanji
79,正午,word
80,あの赤ちゃんは、正午までで５時間眠っていたことになる。,sentence
81,クリスマス,word
82,あと１週間すればクリスマスだ。,sentence
83,凹,kanji
84,正義,word
85,彼はその戦争は正義のための戦争だと信じていた。,sentence
86,詩,word
87,あなたが詩を書くとは知らなかった。,sentence
88,叱,kanji
89,死者,word
90,その事故で多数の死者が出た。,sentence
91,閉める,word
92,「窓を閉めましょうか」「お願いします」,sentence
93,囚,kanji
94,残り,word
95,ケーキが２つあった。私は一つ食べて、それから残り一つを食べた。,sentence
96,たつ,word-reading
97,あなたがこの車を買ってからどのくらいたちますか。,sentence
98,尻,kanji
99,殺人,word
100,その殺人事件はこのようにして起こった。,sentence
101,易しい,word
102,この本は君には易しく読めます。,sentence
103,やさしい,word
104,あなたは私にやさしすぎます。,sentence
105,尼,kanji
106,毎年,word
107,うちは家族で毎年冬スキーに行きます。,sentence
108,付き合う,word
109,10分だけ付き合おう。,sentence
110,巧,kanji
111,比率,word
112,ベッド,word
113,あなたのベッドの下でこれを見つけました。,sentence
114,氾,kanji
115,氏名,word
116,あなたの住所氏名を書きなさい。,sentence
117,嵐,kanji
118,嵐,word
119,おまえは嵐の中へ走り出した。,sentence
120,汁,kanji
121,汚,kanji
122,汚染,word
123,この川の汚染がひどくて、もう魚は住めない。,sentence
124,無くなる,word
125,お金が無くなってしまった。,sentence
126,なくなる,word
127,あなたが約束を守らないとお父さんの立場がなくなりますよ。,sentence
128,玄,kanji
129,汚職,word
130,彼は汚職と何らかの関係があるといわれています。,sentence
131,頑,kanji
132,頑張る,word
133,「子供たちがいるから、私がんばるわ」とその女性は言った。,sentence
134,瓦,kanji
135,決意,word
136,トムはそれをやることを決意した。,sentence
137,申す,word
138,ためになるような友人を選べと申します。,sentence
139,甘,kanji
140,決断,word
141,それはいい決断だ。,sentence
142,重い,word
143,「彼の病気は重いのかな」「そうでないといいね」,sentence
144,仰,kanji
145,注目,word
146,こちらにご注目ください。,sentence
147,奈,kanji
148,加奈,word-component
149,它,kanji
150,陀,kanji
151,陀,word-component
152,カナダ,word
153,「どこに住んでる？」「オーストラリア。君は？」「カナダよ」,sentence
154,伎,kanji
155,活発,word
156,うちの母は活発です。,sentence
157,出会う,word
158,3年前の冬、僕はトムと出会った。,sentence
159,伏,kanji
160,流通,word
161,寄る,word
162,あの絵をもっとよく見るために近くに寄りたいな。,sentence
163,劣,kanji
164,減少,word
165,この村の人口は減少した。,sentence
166,代,word
167,あなたのコーヒー代、私に払わせてください。,sentence
168,匠,kanji
169,弯,kanji
170,湾,kanji
171,湾,word
172,私たちの家からは下に湾が見える。,sentence
173,難い,word
174,あなたが言う事は全く信じ難いです。,sentence
175,叫,kanji
176,演出,word
177,その劇は彼によって演出された。,sentence
178,戉,kanji
179,越,kanji
180,越える,word
181,ジョンは収入を越えた生活をしている。,sentence
182,妃,kanji
183,演奏,word
184,コンサートに行った人々は彼の演奏に驚いた。,sentence
185,戻す,word
186,その本を君が見つけた場所に戻しておきなさい。,sentence
187,妄,kanji
188,災害,word
189,あのような災害は一生の内に二度とやってこないだろう。,sentence
190,抜,kanji
191,抜ける,word
192,あの歌が頭の中から抜けなくて。,sentence
193,巡,kanji
194,替,kanji
195,為替,word
196,１０ドルの郵便為替にしていただきたいのですが。,sentence
197,恐れる,word
198,あなたが恐れているものは何ですか？,sentence
199,帆,kanji
200,燃料,word
201,冬がきたので、たくさんの燃料を買わねばならない。,sentence
202,優れる,word
203,このカメラは小さいが、大変優れている。,sentence
204,弍,kanji
205,弐,kanji
206,物価,word
207,ここ三ヶ月物価が上昇しました。,sentence
208,12,sentence-component
209,12歳です。,sentence
210,旬,kanji
211,物語,word
212,この本の物語は彼女のために書かれている。,sentence
213,通す,word
214,あなたは計画をやり通さなければならない。,sentence
215,朴,kanji
216,物質,word
217,法,word
218,あなたは法に従わなくてはならない。,sentence
219,朽,kanji
220,特定,word
221,医療研究では病気の原因を特定することが第一の課題の一つとされる。,sentence
222,喧,kanji
223,華,kanji
224,嘩,kanji
225,喧嘩,word
226,あいつらのケンカの理由なんて知らないよ。,sentence
227,汎,kanji
228,犯罪,word
229,この犯罪の社会に与えた影響は大きかった。,sentence
230,成す,word
231,「愛してる」といつも言えば、何の意味もなさなくなる。,sentence
232,汗,kanji
233,現象,word
234,人生とは、他の予定を立てることに忙しくしている時に起こる現象のことだ。,sentence
